UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
319296892,591389,2026-01-01 20:13:45,2026-01-06 16:16:49,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,6963
319463838,591032,2026-01-05 17:59:40,2026-01-06 10:51:52,Tyrmanda / Mińska,Tyrmanda / Trawowa,1012
319476408,592466,2026-01-05 22:04:47,2026-01-06 09:58:39,Stacyjna (Dworzec Mikołajów),Tyrmanda / Trawowa,714
319479340,590734,2026-01-05 23:58:26,2026-01-06 00:14:27,Zachodnia / Poznańska,Poza stacją,16
319479356,592107,2026-01-05 23:58:57,2026-01-06 00:07:39,Graniczna / Strzegomska,Poza stacją,9
319479425,591777,2026-01-06 00:03:47,2026-01-06 00:06:03,Legnicka / Zachodnia ,Zachodnia / Poznańska,2
319479428,592837,2026-01-06 00:03:56,2026-01-06 00:08:00,Poza stacją,Zaporoska / Grabiszyńska,4
319479613,591860,2026-01-06 00:15:19,2026-01-06 00:26:18,"Kosmonautów / Fieldorfa, szpital wojewódzki",Poza stacją,11
319479640,592053,2026-01-06 00:17:16,2026-01-06 00:24:41,Świdnicka / Piłsudskiego (Hotel Scandic),Plac Powstańców Śląskich,7
319479709,591204,2026-01-06 00:22:51,2026-01-06 00:23:40,Nowowiejska / Jedności Narodowej,Nowowiejska / Jedności Narodowej,1
319479725,590455,2026-01-06 00:23:40,2026-01-06 00:36:26,pl. Staszica,Rondo Reagana,13
319479733,590760,2026-01-06 00:24:10,2026-01-06 00:28:37,Nowowiejska / Jedności Narodowej,Jedności Narodowej / Wyszyńskiego,4
319479761,590912,2026-01-06 00:26:31,2026-01-06 00:30:56,Nowowiejska / Górnickiego,Sienkiewicza / Piastowska,4
319479768,591631,2026-01-06 00:27:03,2026-01-06 00:27:46,Legnicka (Park Magnolia),Legnicka (Park Magnolia),1
319479795,592512,2026-01-06 00:29:26,2026-01-06 00:39:08,Legnicka (Park Magnolia),Bajana / Szybowcowa,10
319479863,591492,2026-01-06 00:35:13,2026-01-06 00:40:57,Dyrekcyjna / Borowska (Wroclavia),Komandorska / Kamienna,6
